scorer,,,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora
bodyparts,,,nose,nose,r_ear,r_ear,l_ear,l_ear,midpoint,midpoint,r_hlimb,r_hlimb,l_hlimb,l_hlimb,hip,hip,midtail,midtail,tailtip,tailtip
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,FAD09_remapped,img00643.png,376.1708985762597,128.84337434993887,384.2075009235841,135.15784762283664,381.91132882434863,121.3808150274233,359.52365085680185,129.41741737474774,358.94960783199303,144.91657904458776,358.9496078319929,124.82507317627665,348.616833385433,122.52890107704104,344.5985322117708,104.73356730796547,354.35726363352194,85.79014748927221
labeled-data,FAD09_remapped,img03241.png,236.10440052289073,157.5455255903833,224.62354002671293,155.82339651595663,229.7899272499929,144.91657904458776,209.69842138168178,144.91657904458776,211.42055045610846,160.41574071442778,211.99459348091733,139.17614879649886,189.60691551337067,148.36083719344106,164.34902242177952,149.50892324305886,139.6651723549973,152.37913836710328
labeled-data,FAD09_remapped,img03776.png,387.07771604762854,307.9447980903123,366.9862101793175,307.9447980903123,371.5785543777886,294.74180851970783,358.94960783199303,297.0379806189434,353.2091775839041,301.6303248174145,364.11599505527306,286.7052061723834,348.04279036062405,284.98307709795677,329.67341356673967,272.35413055216117,322.78489726903297,244.80006536133448
labeled-data,FAD09_remapped,img07071.png,315.32233794651745,89.80844866293438,331.39554264116634,102.43739520872992,320.4887251697975,108.75186848162775,337.1359728892552,120.80677200261442,348.04279036062405,121.95485805223217,332.5436286907841,130.56550342436555,341.7283170877263,136.87997669726332,335.98788683963744,162.71191281366333,313.02616584728185,181.65533263235665
labeled-data,FAD09_remapped,img08422.png,338.85810196368186,142.62040694535222,339.4321449884908,128.26933132512994,346.3206612861975,135.15784762283664,355.5053496831397,121.3808150274233,360.0976938816109,115.6403847793344,362.3938659808464,137.4540197220722,383.0594148739664,122.52890107704104,390.5219741964819,142.04636392054329,375.0228125266419,162.71191281366333
labeled-data,FAD09_remapped,img10350.png,106.37067691608172,84.64206143965441,121.86983858592174,95.54887891102328,112.11110716417062,103.58548125834773,128.75835488362844,106.45569638239215,136.7949572309529,101.86335218392105,129.33239790843731,116.7884708289522,145.4056026030862,115.64038477933434,168.94136662025068,129.99146039955662,182.1443561908551,152.9531813919122
labeled-data,FAD09_remapped,img10907.png,382.48537184915745,361.330799397539,366.41216715450855,363.05292847196563,367.5602532041263,350.4239819261701,345.17257523657963,359.60867032311234,335.98788683963744,369.94144476967233,336.56192986444637,349.27589587655234,317.61851004575294,359.03462729830346,291.7865739293529,353.29419705021456,270.546982011424,336.64694933075674
labeled-data,FAD09_remapped,img13298.png,118.99962346187732,162.71191281366333,133.35069908209954,166.73021398732556,126.46218278439284,175.91490238426775,148.27581772713063,182.22937565716558,163.20093637216178,181.65533263235665,148.27581772713063,196.00640825257886,167.219237545824,199.45066640143222,188.45882946375292,217.24600017050778,202.80990508397514,239.63367813805448
labeled-data,FAD09_remapped,img15667.png,318.7665960953708,238.4855920884367,309.0078646736197,244.22602233652557,306.13764954957514,234.46729091477448,286.0461436812641,241.35580721248115,263.0844226889085,255.70688283270337,273.41719713546854,232.7451618403478,257.91803546562846,241.92985023729003,237.25248657250847,238.4855920884367,215.43885162977068,224.13451646821446
labeled-data,FAD09_remapped,img25912.png,177.552011992384,146.0646650942055,171.8115817442951,138.60210577169,182.71839921566402,143.1944499701611,187.884786438944,124.82507317627665,186.16265736451732,114.4922987297166,198.79160391031292,125.39911620108552,205.1060771832107,112.19612663048105,228.06779817556628,118.51059990337882,243.56695984540625,141.4723208957344
labeled-data,FAD09_remapped,img29392.png,147.12773167751288,342.38737957884564,147.12773167751288,334.9248202563301,155.16433402483733,345.25759470289006,160.90476427292623,328.0363039586234,153.44220495041066,321.1477876609167,172.38562476910403,330.90651908266784,170.66349569467735,311.9630992639745,171.23753871948622,285.5571201227656,175.25583989314845,260.2992270311745
